  mainCode.cpp
c:\users\asus\documents\github\computaciongraficamundolego\window.h(12): warning C4244: 'return': conversión de 'GLint' a 'GLfloat'; posible pérdida de datos
c:\users\asus\documents\github\computaciongraficamundolego\window.h(13): warning C4244: 'return': conversión de 'GLint' a 'GLfloat'; posible pérdida de datos
c:\users\asus\documents\github\computaciongraficamundolego\maincode.cpp(589): warning C4305: 'argumento': truncamiento de 'double' a 'GLfloat'
c:\users\asus\documents\github\computaciongraficamundolego\maincode.cpp(752): warning C4244: '=': conversión de 'float' a 'int'; posible pérdida de datos
c:\users\asus\documents\github\computaciongraficamundolego\maincode.cpp(757): warning C4244: 'inicializando': conversión de 'int' a 'float'; posible pérdida de datos
c:\users\asus\documents\github\computaciongraficamundolego\maincode.cpp(758): warning C4244: 'inicializando': conversión de 'int' a 'float'; posible pérdida de datos
c:\users\asus\documents\github\computaciongraficamundolego\maincode.cpp(759): warning C4244: 'inicializando': conversión de 'int' a 'float'; posible pérdida de datos
c:\users\asus\documents\github\computaciongraficamundolego\maincode.cpp(760): warning C4244: 'inicializando': conversión de 'int' a 'float'; posible pérdida de datos
c:\users\asus\documents\github\computaciongraficamundolego\maincode.cpp(761): warning C4244: 'inicializando': conversión de 'int' a 'float'; posible pérdida de datos
c:\users\asus\documents\github\computaciongraficamundolego\maincode.cpp(762): warning C4244: 'inicializando': conversión de 'int' a 'float'; posible pérdida de datos
c:\users\asus\documents\github\computaciongraficamundolego\maincode.cpp(763): warning C4244: 'inicializando': conversión de 'int' a 'float'; posible pérdida de datos
c:\users\asus\documents\github\computaciongraficamundolego\maincode.cpp(764): warning C4244: 'inicializando': conversión de 'int' a 'float'; posible pérdida de datos
c:\users\asus\documents\github\computaciongraficamundolego\maincode.cpp(765): warning C4244: 'inicializando': conversión de 'int' a 'float'; posible pérdida de datos
c:\users\asus\documents\github\computaciongraficamundolego\maincode.cpp(766): warning C4244: 'inicializando': conversión de 'int' a 'float'; posible pérdida de datos
c:\users\asus\documents\github\computaciongraficamundolego\maincode.cpp(767): warning C4244: 'inicializando': conversión de 'int' a 'float'; posible pérdida de datos
c:\users\asus\documents\github\computaciongraficamundolego\maincode.cpp(768): warning C4244: 'inicializando': conversión de 'int' a 'float'; posible pérdida de datos
c:\users\asus\documents\github\computaciongraficamundolego\maincode.cpp(769): warning C4244: 'inicializando': conversión de 'int' a 'float'; posible pérdida de datos
c:\users\asus\documents\github\computaciongraficamundolego\maincode.cpp(770): warning C4244: 'inicializando': conversión de 'int' a 'float'; posible pérdida de datos
